worker_id,cumulative_js,max_js,divergence_year,change_rate,country
%7E%7E%7Eabhishek%7E%7E%7E-lifoline-4ba22719,3.2716045796232884,2.998459822913048,1,-0.40895057245291105,india
%7E%7E%7Etrisha%7E%7E%7E-mondal-a0237473,3.134395348131502,2.998459822865189,2,-0.39179941851643774,india
%E2%97%8F%E0%B9%8B-b%C3%A1%DA%A9t%C3%BD%C3%A1v-p%C3%AD%C5%84t%C5%91%E2%97%8F%E0%B9%8B-93734538,3.0597858833419034,2.9984598228173307,2,-0.3824732354177379,india
%EF%A3%BF-sahil-dhiman%EF%A3%BF-15b18441,3.053003663820815,2.998459822769472,2,-0.3816254579776019,india
%ef%a3%bf-sahil-dhiman%ef%a3%bf-15b18441,3.0523818955254876,2.998459822721614,2,-0.38154773694068594,india
-ankitchauhan,3.0523248498118467,2.9984598226737553,2,-0.38154060622648084,india
24x7sonia,3.1343953481129097,2.998459822625897,2,-0.3917994185141137,india
344407179,3.0597858832253904,2.9984598225780386,2,-0.3824732354031738,india
Ravivarma1105,3.053003663696874,2.9984598225301804,2,-0.3816254579621092,india
Swapnil-ghube-06723850,8.983896337922467,2.998459822482322,2,0.35989156839006003,india
a2yaz,3.1355635420619605,3.0931043102141182,2,-0.39194544275774507,india
aabha-joshi-1b610783,3.412307404976702,2.9717130341072098,1,0.3163898329047147,india
aabid-ahmed-6439b017b,3.2113217476594698,3.0931043102141182,2,-0.4014152184574337,india
aadithya-cholan-manoharan-a9a20254,3.143234291416301,3.093104309674372,2,-0.3929042864270376,india
aafak-mohammad-5a7b5452,3.13731889687495,3.093104309143122,2,-0.39216486210936874,india
aakanksha-prakash-2843763a,3.3252826204696575,3.0931043086181873,1,-0.4156603275587072,india
aakanksha-taneja-65840566,3.3252826199757135,3.093104308098288,1,-0.4156603274969642,india
aakash-dave-147a302a,3.152943590552867,3.0931043075825735,2,-0.3941179488191084,india
